layer_idx,layer_name,numel,err_mean,err_std,err_abs_max,err_rmse,delta_int8,theoretical_std,std_ratio,err_kurtosis,err_skewness,ks_stat,ks_pvalue,pct_within_half_delta,pct_within_delta,entropy_ratio,pch_std_ratio_mean,pch_std_ratio_median,pch_kurtosis_mean,pch_ks_stat_mean
62,model.middle_block.2.cond_emb_layers.1,262144,-1.3359884860619786e-06,0.0007607679581269622,0.002665415406227112,0.0007607691222801805,0.0046326884134547915,0.0013373419512898923,0.9994496188177759,-0.8967915075751294,0.002343481248335952,0.009196884012222295,0.36393318471822356,0.9995651245117188,1.0,0.9998486447120398,0.9982565660798494,0.998173077570671,-1.1934508477842367,0.03805086057400331
63,model.middle_block.2.out_layers.3,2359296,-6.839806587777275e-07,0.0008109876071102917,0.0037881582975387573,0.0008109879563562572,0.006186385793010081,0.0017858557514526235,1.000275008811355,-0.6629758010946558,0.0004280092616259131,0.0076418704032897855,0.6005666425976977,0.9993714226616753,1.0,0.9999911408958561,1.000144004886974,1.0001961347706927,-1.1994755351012936,0.027510102425236257
64,model.output_blocks.0.0.in_layers.2,4718592,9.184142335527667e-09,0.0007769411895424128,0.00331009179353714,0.0007769411895424128,0.0057266162136408285,0.001653131706245604,1.0000029759616889,-0.8416592181411873,0.0006187432822612347,0.010170573759078982,0.25046826977373393,0.9997306399875217,1.0,0.9999949784387658,0.9999439738771412,0.9999154815252211,-1.1999760443324448,0.027277993331663315
65,model.output_blocks.0.0.emb_layers.1,524288,1.3229251294433197e-07,0.0003512086404953152,0.0013929083943367004,0.00035120866959914565,0.002737846782827002,0.0007903482885325602,0.999623678546253,-0.3632946229355132,-0.005364549977263617,0.012292731380462663,0.09657648362381466,0.9999771118164062,1.0,0.9999170997765441,0.9984542026473125,0.9988255434567772,-1.1927045170606105,0.03824070771224797
66,model.output_blocks.0.0.cond_emb_layers.1,262144,6.877870077914849e-07,0.0008029741002246737,0.0023169368505477905,0.0008029743912629783,0.004549741275667206,0.0013133971751248064,0.9981752455744064,-0.9523493775583773,-0.0009003359304149285,0.007917080879211391,0.5549690468974244,0.9999542236328125,1.0,0.9998237440934592,0.9969327312185192,0.997980383333896,-1.1884333546458166,0.0383031444507651
67,model.output_blocks.0.0.out_layers.3,2359296,-3.9825397379900096e-07,0.0009425953612662852,0.003392629325389862,0.0009425956523045897,0.006092780218349667,0.0017588341495887038,1.000256735637013,-0.8198890804094829,-0.00033685951395130394,0.01091395826339725,0.18319596176652653,0.99980714586046,1.0,0.9999874417298196,1.0001275793147737,1.0000311083911135,-1.1997670011581714,0.027206435401458295
68,model.output_blocks.1.0.in_layers.2,4718592,-2.8198151369451807e-08,0.0008188399369828403,0.003363102674484253,0.0008188399369828403,0.005907140848204846,0.001705244679426051,1.0000951677395833,-0.6523638650325827,-0.0003599137559720287,0.014005082654952983,0.03919805513138763,0.9996030595567491,1.0,0.9999948341869774,1.0000333028093291,0.9999629711308555,-1.2000194205094612,0.027658607181161643
69,model.output_blocks.1.0.emb_layers.1,524288,2.3800339477020316e-07,0.0003811880887951702,0.0014192461967468262,0.00038118817610666156,0.0027300891444439024,0.0007881088512281811,0.9990078622471037,0.04100355510065201,0.0008873971685439368,0.004987724685668937,0.963672160195892,0.9998893737792969,1.0,0.9999062970683793,0.9978603336556958,0.9973612634100071,-1.1916785698604895,0.03764984544250183
70,model.output_blocks.1.0.cond_emb_layers.1,262144,-6.965098009459325e-07,0.0009000973077490926,0.002410273998975754,0.0009000975987873971,0.004667511371177013,0.0013473944732973438,0.998835041377904,-1.0305502725445574,0.001431903425911015,0.012826838445663458,0.07382502563522386,0.9999275207519531,1.0,0.9998486405667689,0.9976039485625295,0.99760604135557,-1.1907916645355279,0.038757025089580566
71,model.output_blocks.1.0.out_layers.3,2359296,2.6131667141271464e-07,0.0011528421891853213,0.0042533245868980885,0.001152842422015965,0.008196536011583223,0.002366136136355018,0.9997279492021023,-0.6888906361807692,-1.7051336531049894e-05,0.009501311302185012,0.3252867963436631,0.9999241299099393,1.0,0.9999884431522379,0.9996004926818989,0.9996981649603076,-1.1987145417117098,0.027086124191991984
72,model.output_blocks.2.0.in_layers.2,4128768,-1.7762917536856548e-07,0.0009369176696054637,0.004468828439712524,0.0009369177860207856,0.007296766821793684,0.002106395144388257,0.9998066167662182,-0.030894503200557644,0.0003387677096423762,0.016878692913055438,0.006630030985444626,0.9993557400173612,1.0,0.9999937284239753,0.9997321916498882,0.9996710132944776,-1.1992523478093948,0.027676523416303098
73,model.output_blocks.2.0.emb_layers.1,524288,-3.356402658027946e-07,0.0003471443196758628,0.001580946147441864,0.0003471444360911846,0.0028849120919160016,0.000832802386428055,0.9983504409238878,-0.4892333688076387,-6.116960685949887e-05,0.006112718772888215,0.846715229241997,0.99993896484375,1.0,0.9999169414699938,0.9972106511702188,0.9965552822117743,-1.1891475016052786,0.037912010186119005
74,model.output_blocks.2.0.cond_emb_layers.1,262144,-8.099995056909393e-07,0.0008959810365922749,0.002576397266238928,0.0008959813858382404,0.0048419514040308675,0.001397750973260154,0.9997640825976936,-1.0294308785077866,0.0023303849306650533,0.007477974224090578,0.6280816001799475,0.9999008178710938,1.0,0.9998316574308113,0.9985102997439681,0.9983038804627116,-1.193276704182356,0.03873227321309969
