layer_idx,layer_name,act_std_mean,act_std_cv,delta_over_std_mean,delta_over_std_max,err_rel_l2_mean,err_rel_l2_max
12,model.input_blocks.4.0.in_layers.2,0.30502734690904615,0.05078983781208275,0.15453105872359557,0.16409085817510058,0.0431769151147455,0.04620065446943045
13,model.input_blocks.4.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.1309334339194915,0.2686976346640305,0.04139908632263541,0.128242626786232
14,model.input_blocks.4.0.cond_emb_layers.1,0.07437130622565746,0.0,0.03205556369394578,0.03605071745168731,0.009388616846408696,0.015823272289708257
15,model.input_blocks.4.0.out_layers.3,0.12670464352704586,0.2670702942146896,0.17852571933809586,0.2459890091848704,0.05258844252675772,0.07075343653559685
16,model.input_blocks.5.0.in_layers.2,0.2896503109484911,0.03828003619587121,0.1373049043014408,0.14414479470806263,0.03812942342832684,0.04022680455818772
17,model.input_blocks.5.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13072041932539077,0.2706027807190448,0.04007543947547674,0.11078529804944992
18,model.input_blocks.5.0.cond_emb_layers.1,0.07437130622565746,0.0,0.031841920003266244,0.03627657399245876,0.009387531693791971,0.020276375813409686
19,model.input_blocks.5.0.out_layers.3,0.14398484744131565,0.3827133430889832,0.1377656334846041,0.19357462864416383,0.045665517491288485,0.11598726641386747
20,model.input_blocks.6.0.in_layers.2,0.33127606492489575,0.03740046663115717,0.1086598294577129,0.11525907482148445,0.030364188521634788,0.031968117225915194
21,model.input_blocks.6.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13067799454773757,0.27022672195885206,0.04094335103407502,0.11531795561313629
22,model.input_blocks.6.0.cond_emb_layers.1,0.07437130622565746,0.0,0.03042998869287352,0.03500767547110981,0.011025564908050001,0.12393214460462332
23,model.input_blocks.6.0.out_layers.3,0.12640164923854172,0.16510357455302438,0.21097505369218322,0.2663395764467118,0.06192215600516647,0.07612687535583973
24,model.input_blocks.7.0.in_layers.2,0.3699852091819048,0.015096068625958328,0.13125242586308836,0.13518492704721174,0.038183109196834264,0.039640787057578564
25,model.input_blocks.7.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13114423242530626,0.26753600767400515,0.041370726488530636,0.1153564304113388
26,model.input_blocks.7.0.cond_emb_layers.1,0.07437130622565746,0.0,0.02949402184953032,0.03727110319971465,0.01593568257987499,0.22182416170835495
27,model.input_blocks.7.0.out_layers.3,0.12687303202226757,0.2776073000207873,0.2345820784917598,0.30615469038315263,0.0683363702101633,0.08659439068287611
28,model.input_blocks.8.0.in_layers.2,0.37031458199024203,0.05230739288986127,0.10920262654275968,0.11440888404965904,0.11568813506979496,0.1447255965322256
29,model.input_blocks.8.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13042561319044924,0.25823928063843765,0.04041152141988277,0.10837843269109726
30,model.input_blocks.8.0.cond_emb_layers.1,0.07437130622565746,0.0,0.02909624356550313,0.03456540620944019,0.03575548636727035,0.6338840052485466
31,model.input_blocks.8.0.out_layers.3,0.16042323020286858,0.3311421551043457,0.24621643416110264,0.3173292803922222,0.06653305780142546,0.08359571918845177
32,model.input_blocks.9.0.in_layers.2,0.43003690559417007,0.049755865918463225,0.12063413211739211,0.14330648002967436,0.0803492399211973,0.09709441941231489
33,model.input_blocks.9.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13011877254893117,0.2593917473596103,0.04111044835299253,0.10903482139110565
34,model.input_blocks.9.0.cond_emb_layers.1,0.07437130622565746,0.0,0.030149955926628596,0.035445779733704025,0.008794440717902035,0.010179601144045591
35,model.input_blocks.9.0.out_layers.3,0.12909032893367112,0.17637175274476632,0.39758995037772155,0.5027898884213973,0.11073969645425677,0.13974628783762455
36,model.input_blocks.10.0.in_layers.2,0.47959745686501265,0.018534330047224774,0.11272207376852349,0.12418534263108141,0.08969137185718865,0.10871849022805691
37,model.input_blocks.10.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13050837158905076,0.26165306287996554,0.04083460232242942,0.11118432879447937
38,model.input_blocks.10.0.cond_emb_layers.1,0.07437130622565746,0.0,0.029901564058852158,0.032952825847718116,0.008735470140818507,0.00957851274870336
