idx,layer_name,numel,residual_mean,residual_std,residual_abs_max,residual_MAE,residual_RMSE,residual_rel_L2,residual_q99_abs,residual_q999_abs,w_lora_mean,w_lora_std,w_lora_q_mean,w_lora_q_std,ks_distance
93,model.output_blocks.5.2.emb_layers.1,393216,7.97619122749893e-07,0.00035408628173172474,0.0015363916754722595,0.0002952201757580042,0.0003540871839504689,0.006724124149141187,0.0008718924131244414,0.0012263898365199395,-0.0015436079120263457,0.05263660475611687,-0.0015428103506565094,0.05263745039701462,0.0045600000000000085
94,model.output_blocks.5.2.cond_emb_layers.1,196608,-1.769902951309632e-06,0.0008879563538357615,0.002481237053871155,0.0007582140970043838,0.0008879581582732499,0.008188060485087818,0.0018067368119955049,0.0021442093406803943,-0.003334871493279934,0.10839419811964035,-0.0033366417046636343,0.10839767009019852,0.006730000000000014
95,model.output_blocks.5.2.out_layers.3,1327104,1.7441548152419273e-06,0.0011163658928126097,0.00760747492313385,0.000930408074054867,0.0011163672897964716,0.011153831968861917,0.0025253891944885254,0.005147244850173935,-0.0020876070484519005,0.10006649792194366,-0.0020858626812696457,0.10007316619157791,0.007990000000000053
96,model.output_blocks.6.0.in_layers.2,1474560,3.852200904930214e-07,0.0011407581623643637,0.006450153887271881,0.0009452025988139212,0.0011407582787796855,0.013437351544360498,0.0026828707754611957,0.004818190259858974,-0.0016741192666813731,0.08487808704376221,-0.0016737338155508041,0.0848875343799591,0.009610000000000007
97,model.output_blocks.6.0.emb_layers.1,262144,1.9651625393635186e-07,0.00040136498864740133,0.0022982489317655563,0.0003177968319505453,0.00040136504685506225,0.0076158856397732805,0.00121073503047228,0.0017092936362605538,-0.0016314659733325243,0.052675772458314896,-0.0016312693478539586,0.052678175270557404,0.005340000000000011
98,model.output_blocks.6.0.cond_emb_layers.1,131072,-1.2537232123577269e-06,0.0007988570141606033,0.0026045292615890503,0.0006739968666806817,0.0007988580036908388,0.008244019056358338,0.0017993846535682674,0.002119245439767839,-0.004992606583982706,0.09677283465862274,-0.0049938601441681385,0.09677701443433762,0.006259999999999932
99,model.output_blocks.6.0.out_layers.3,589824,3.928666956198867e-06,0.0016051542479544878,0.010366983711719513,0.0012979963794350624,0.0016051591373980045,0.014700659427935503,0.004355193451046947,0.007861944220960305,-0.0026827051769942045,0.10915664583444595,-0.00267877709120512,0.10917142033576965,0.010769999999999946
100,model.output_blocks.7.0.in_layers.2,1179648,-1.5292243915610015e-06,0.0013053524307906628,0.005689509212970734,0.0010733159724622965,0.001305353594943881,0.015539243968850478,0.003441990315914155,0.004569856584072066,-0.0013455479638651013,0.08399290591478348,-0.0013470769627019763,0.08400294184684753,0.011399999999999966
101,model.output_blocks.7.0.emb_layers.1,262144,1.1675795121846022e-06,0.0003798632533289492,0.001788027584552765,0.0003060972667299211,0.0003798649995587766,0.00763837374909164,0.001080951355397702,0.0015742448195815038,-0.0015178994508460164,0.049707964062690735,-0.0015167315723374486,0.049709122627973557,0.005319999999999991
102,model.output_blocks.7.0.cond_emb_layers.1,131072,2.9347638701437972e-06,0.0007698970148339868,0.002351433038711548,0.0006491314270533621,0.0007699026609770954,0.008254515804308948,0.0017517691105604152,0.0020679674856364776,-0.004939027596265078,0.09313962608575821,-0.004936092533171177,0.09314290434122086,0.006169999999999898
103,model.output_blocks.7.0.out_layers.3,589824,9.97621441456431e-07,0.0012748539447784424,0.0056745074689388275,0.0010574324987828732,0.001274854177609086,0.013314616446478678,0.0032947069406509405,0.00502379170712085,-0.002239885739982128,0.09572228044271469,-0.0022388878278434277,0.0957334116101265,0.01036999999999999
104,model.output_blocks.8.0.in_layers.2,884736,2.7824023618450155e-07,0.0013695554807782173,0.006897889077663422,0.0010935432510450482,0.0013695554807782173,0.015923289443915967,0.004081029258668425,0.005898233209736646,-0.0018415882950648665,0.08598988503217697,-0.0018413097131997347,0.08600088208913803,0.012139999999999984
105,model.output_blocks.8.0.emb_layers.1,262144,9.408990564452324e-08,0.000364350009476766,0.0018989890813827515,0.0002942150749731809,0.00036435003858059645,0.007744086021462807,0.0010053110308945183,0.0014681878155097226,-0.0015756187494844198,0.04702243208885193,-0.0015755246859043837,0.04702279344201088,0.005230000000000068
106,model.output_blocks.8.0.cond_emb_layers.1,131072,2.189335191360442e-06,0.0007226531160995364,0.002351224422454834,0.0006057065329514444,0.0007226564921438694,0.008189343896054645,0.0017447134107351284,0.002134876767639071,-0.0055997190065681934,0.08806565403938293,-0.005597529001533985,0.08806561678647995,0.006700000000000039
107,model.output_blocks.8.0.out_layers.3,589824,1.615486411310485e-07,0.0011188662610948086,0.008088922128081322,0.0009092240361496806,0.0011188662610948086,0.013356801251412127,0.0029098084289580586,0.006028771921061007,-0.0009671853040345013,0.08376193791627884,-0.0009670236613601446,0.08376970887184143,0.010670000000000068
108,model.output_blocks.8.1.in_layers.2,589824,4.775777711074625e-07,0.0009808839531615376,0.005633987486362457,0.0008136567194014788,0.0009808839531615376,0.011107630899019552,0.0024173724185675405,0.004183654334396308,-0.003854745766147971,0.08822305500507355,-0.003854266367852688,0.08822891861200333,0.008020000000000027
